Order ID,Order Total,Date,Cashier Name,Payment Method,Customer ID,Role,Cashier Salary,Customer Name,Hour
1,20.42,1/1/23,Sally,check,373558,cashier,68070.84,Customer1,07:58:05
2,7.83,1/1/23,Bob,cash,403572,cashier,61275.29,Customer2,14:24:38
3,15.51,1/1/23,Brandon,card,836925,cashier,66810.4,Customer3,00:35:44
4,15.17,1/1/23,Suzy,card,459377,cashier,52967.96,Customer4,01:18:29
5,16.92,1/1/23,Sally,cash,139300,cashier,68070.84,Customer5,23:01:01
6,9.96,1/1/23,Brandon,card,432692,cashier,66810.4,Customer6,06:56:04
7,19.03,1/1/23,Bob,cash,246379,cashier,61275.29,Customer7,18:32:14
8,13.12,1/1/23,Bob,check,492908,cashier,61275.29,Customer8,10:26:54
9,20.79,1/1/23,Sally,check,809424,cashier,68070.84,Customer9,03:28:02
10,11.72,1/1/23,Brandon,check,483127,cashier,66810.4,Customer10,11:14:54
11,6.89,1/1/23,Sally,check,223047,cashier,68070.84,Customer11,03:23:36
12,7.6,1/1/23,Brandon,card,468525,cashier,66810.4,Customer12,20:18:20
13,13.83,1/1/23,Brandon,cash,413071,cashier,66810.4,Customer13,22:21:26
14,20.83,1/1/23,Sally,card,696448,cashier,68070.84,Customer14,14:51:40
15,12.21,1/1/23,Brandon,card,463225,cashier,66810.4,Customer15,19:11:56
16,12.24,1/1/23,Suzy,check,644434,cashier,52967.96,Customer16,08:36:09
17,9.21,1/1/23,Brandon,cash,804188,cashier,66810.4,Customer17,18:24:01
18,7.47,1/1/23,Bob,cash,454797,cashier,61275.29,Customer18,08:05:51
19,15.58,1/1/23,Bob,cash,569890,cashier,61275.29,Customer19,02:14:39
20,5.39,1/1/23,Bob,card,485193,cashier,61275.29,Customer20,08:45:30
21,14.54,1/1/23,Suzy,check,332309,cashier,52967.96,Customer21,13:48:14
22,15.6,1/1/23,Suzy,check,942534,cashier,52967.96,Customer22,19:15:19
23,18.79,1/1/23,Brandon,check,544546,cashier,66810.4,Customer23,20:49:12
24,11.97,1/1/23,Sally,check,696448,cashier,68070.84,Customer24,06:07:36
25,22.08,1/1/23,Bob,cash,147793,cashier,61275.29,Customer25,23:56:10
26,12.85,1/1/23,Suzy,check,543143,cashier,52967.96,Customer26,15:11:10
27,19.02,1/1/23,Sally,card,583130,cashier,68070.84,Customer27,05:35:33
28,18.7,1/1/23,Suzy,cash,436269,cashier,52967.96,Customer28,01:17:35
29,15.99,1/1/23,Brandon,card,837964,cashier,66810.4,Customer29,13:30:17
30,13.2,1/1/23,Bob,card,897713,cashier,61275.29,Customer30,03:27:37
31,19.36,1/1/23,Brandon,check,444930,cashier,66810.4,Customer31,05:32:20
32,9.75,1/1/23,Brandon,card,204312,cashier,66810.4,Customer32,19:41:37
33,16.29,1/1/23,Suzy,cash,258634,cashier,52967.96,Customer33,19:52:59
34,19.28,1/1/23,Suzy,card,948492,cashier,52967.96,Customer34,18:18:23
35,8.45,1/1/23,Suzy,check,373558,cashier,52967.96,Customer35,18:24:02
36,16.99,1/1/23,Brandon,card,809424,cashier,66810.4,Customer36,16:22:33
37,19.47,1/1/23,Brandon,card,366734,cashier,66810.4,Customer37,05:13:27
38,14.9,1/1/23,Sally,card,227060,cashier,68070.84,Customer38,09:16:39
39,10.94,1/1/23,Sally,card,273335,cashier,68070.84,Customer39,19:43:48
40,20.87,1/1/23,Suzy,check,983657,cashier,52967.96,Customer40,03:44:26
41,13.79,1/1/23,Bob,cash,885042,cashier,61275.29,Customer41,07:14:31
42,20.79,1/1/23,Bob,card,583130,cashier,61275.29,Customer42,05:00:19
